timestamp,By
2024-05-09 08:21:00+00:00,0.3
2024-05-09 08:22:00+00:00,0.18
2024-05-09 08:23:00+00:00,0.15
2024-05-09 08:24:00+00:00,1.34
2024-05-09 08:25:00+00:00,1.65
2024-05-09 08:26:00+00:00,0.8
2024-05-09 08:27:00+00:00,0.41
2024-05-09 08:28:00+00:00,0.44
2024-05-09 08:29:00+00:00,0.39
2024-05-09 08:30:00+00:00,0.23
2024-05-09 08:31:00+00:00,0.37
2024-05-09 08:32:00+00:00,0.38
2024-05-09 08:34:00+00:00,1.57
2024-05-09 08:35:00+00:00,1.56
2024-05-09 08:36:00+00:00,1.19
2024-05-09 08:37:00+00:00,0.95
2024-05-09 08:38:00+00:00,1.13
2024-05-09 08:39:00+00:00,1.13
2024-05-09 08:40:00+00:00,1.32
2024-05-09 08:41:00+00:00,1.95
2024-05-09 08:42:00+00:00,1.83
2024-05-09 08:43:00+00:00,1.63
2024-05-09 08:44:00+00:00,1.37
2024-05-09 08:45:00+00:00,1.31
2024-05-09 08:46:00+00:00,1.2
2024-05-09 08:47:00+00:00,0.93
2024-05-09 08:48:00+00:00,1.44
2024-05-09 08:49:00+00:00,1.84
2024-05-09 08:50:00+00:00,1.67
2024-05-09 08:51:00+00:00,1.7
2024-05-09 08:52:00+00:00,1.69
2024-05-09 08:53:00+00:00,1.57
2024-05-09 08:54:00+00:00,1.5
2024-05-09 08:55:00+00:00,1.43
2024-05-09 08:56:00+00:00,0.86
2024-05-09 08:57:00+00:00,0.88
2024-05-09 08:58:00+00:00,0.6
2024-05-09 08:59:00+00:00,0.32
2024-05-09 09:01:00+00:00,-0.94
2024-05-09 09:02:00+00:00,-1.14
2024-05-09 09:04:00+00:00,-0.57
2024-05-09 09:05:00+00:00,-0.31
2024-05-09 09:06:00+00:00,-0.19
2024-05-09 09:07:00+00:00,-0.24
2024-05-09 09:09:00+00:00,-0.79
2024-05-09 09:10:00+00:00,-0.56
2024-05-09 09:11:00+00:00,-0.13
2024-05-09 09:12:00+00:00,-0.38
2024-05-09 09:13:00+00:00,-0.96
2024-05-09 09:14:00+00:00,-0.63
2024-05-09 09:15:00+00:00,-0.67
2024-05-09 09:16:00+00:00,-0.28
2024-05-09 09:17:00+00:00,-0.41
2024-05-09 09:18:00+00:00,-0.55
2024-05-09 09:19:00+00:00,-0.79
2024-05-09 09:20:00+00:00,1.25
2024-05-09 09:21:00+00:00,-0.66
2024-05-09 09:22:00+00:00,-0.87
2024-05-09 09:23:00+00:00,-0.44
2024-05-09 09:24:00+00:00,-0.61
2024-05-09 09:25:00+00:00,-0.96
2024-05-09 09:26:00+00:00,0.32
2024-05-09 09:27:00+00:00,0.31
2024-05-09 09:28:00+00:00,1.02
2024-05-09 09:30:00+00:00,0.97
2024-05-09 09:32:00+00:00,1.08
2024-05-09 09:33:00+00:00,1.02
2024-05-09 09:34:00+00:00,0.9
2024-05-09 09:35:00+00:00,1.07
2024-05-09 09:36:00+00:00,1.0
2024-05-09 09:37:00+00:00,0.55
2024-05-09 09:38:00+00:00,0.59
2024-05-09 09:39:00+00:00,0.6
2024-05-09 09:40:00+00:00,0.69
2024-05-09 09:41:00+00:00,0.69
2024-05-09 09:42:00+00:00,0.54
2024-05-09 09:43:00+00:00,0.54
2024-05-09 09:45:00+00:00,0.5
2024-05-09 09:46:00+00:00,0.58
2024-05-09 09:47:00+00:00,0.58
2024-05-09 09:48:00+00:00,0.64
2024-05-09 09:49:00+00:00,0.64
2024-05-09 09:50:00+00:00,0.69
2024-05-09 09:51:00+00:00,0.7
2024-05-09 09:56:00+00:00,0.14
2024-05-09 09:57:00+00:00,0.15
2024-05-09 09:58:00+00:00,0.39
2024-05-09 09:59:00+00:00,0.52
2024-05-09 10:00:00+00:00,1.5
2024-05-09 10:01:00+00:00,1.59
2024-05-09 10:03:00+00:00,1.32
2024-05-09 10:04:00+00:00,1.38
2024-05-09 10:05:00+00:00,1.05
2024-05-09 10:07:00+00:00,1.3
2024-05-09 10:09:00+00:00,1.41
2024-05-09 10:10:00+00:00,1.02
2024-05-09 10:11:00+00:00,0.86
2024-05-09 10:12:00+00:00,1.3
2024-05-09 10:13:00+00:00,1.27
2024-05-09 10:14:00+00:00,1.39
2024-05-09 10:15:00+00:00,0.94
2024-05-09 10:16:00+00:00,1.38
2024-05-09 10:17:00+00:00,1.56
2024-05-09 10:18:00+00:00,1.58
2024-05-09 10:19:00+00:00,1.38
2024-05-09 10:20:00+00:00,2.15
2024-05-09 10:21:00+00:00,1.66
2024-05-09 10:22:00+00:00,1.61
2024-05-09 10:23:00+00:00,1.43
2024-05-09 10:24:00+00:00,1.35
2024-05-09 10:25:00+00:00,1.45
2024-05-09 10:26:00+00:00,1.28
2024-05-09 10:27:00+00:00,1.43
2024-05-09 10:28:00+00:00,0.95
2024-05-09 10:29:00+00:00,1.06
2024-05-09 10:30:00+00:00,1.1
2024-05-09 10:31:00+00:00,1.54
2024-05-09 10:32:00+00:00,1.29
2024-05-09 10:33:00+00:00,1.68
2024-05-09 10:34:00+00:00,1.53
2024-05-09 10:35:00+00:00,1.76
2024-05-09 10:36:00+00:00,1.82
2024-05-09 10:37:00+00:00,2.03
2024-05-09 10:38:00+00:00,1.72
2024-05-09 10:39:00+00:00,1.68
2024-05-09 10:40:00+00:00,2.07
2024-05-09 10:41:00+00:00,0.97
2024-05-09 10:42:00+00:00,0.82
2024-05-09 10:43:00+00:00,0.8
2024-05-09 10:44:00+00:00,0.79
2024-05-09 10:45:00+00:00,0.67
2024-05-09 10:46:00+00:00,0.67
2024-05-09 10:47:00+00:00,0.64
2024-05-09 10:48:00+00:00,0.64
2024-05-09 10:49:00+00:00,1.5
2024-05-09 10:50:00+00:00,0.69
2024-05-09 10:51:00+00:00,0.66
2024-05-09 10:52:00+00:00,0.5
2024-05-09 10:53:00+00:00,1.14
2024-05-09 10:54:00+00:00,0.73
2024-05-09 10:55:00+00:00,0.75
2024-05-09 10:56:00+00:00,0.56
2024-05-09 10:57:00+00:00,0.21
2024-05-09 10:58:00+00:00,0.53
2024-05-09 10:59:00+00:00,0.5
2024-05-09 11:00:00+00:00,0.54
2024-05-09 11:01:00+00:00,0.54
2024-05-09 11:02:00+00:00,0.53
2024-05-09 11:03:00+00:00,0.51
2024-05-09 11:04:00+00:00,0.82
2024-05-09 11:08:00+00:00,0.95
2024-05-09 11:09:00+00:00,1.05
2024-05-09 11:10:00+00:00,0.77
2024-05-09 11:11:00+00:00,1.09
2024-05-09 11:12:00+00:00,1.05
2024-05-09 11:13:00+00:00,1.42
2024-05-09 11:14:00+00:00,1.73
2024-05-09 11:15:00+00:00,1.65
2024-05-09 11:16:00+00:00,1.99
2024-05-09 11:17:00+00:00,1.68
2024-05-09 11:18:00+00:00,1.51
2024-05-09 11:19:00+00:00,1.38
2024-05-09 11:20:00+00:00,1.41
2024-05-09 11:21:00+00:00,1.24
2024-05-09 11:22:00+00:00,1.45
2024-05-09 11:23:00+00:00,1.54
2024-05-09 11:24:00+00:00,1.43
2024-05-09 11:25:00+00:00,1.74
2024-05-09 11:26:00+00:00,1.51
2024-05-09 11:27:00+00:00,1.42
2024-05-09 11:28:00+00:00,1.72
2024-05-09 11:29:00+00:00,1.88
2024-05-09 11:30:00+00:00,1.17
2024-05-09 11:31:00+00:00,1.42
2024-05-09 11:32:00+00:00,2.44
2024-05-09 11:33:00+00:00,2.05
2024-05-09 11:34:00+00:00,2.15
2024-05-09 11:35:00+00:00,2.28
2024-05-09 11:36:00+00:00,2.33
2024-05-09 11:37:00+00:00,2.44
2024-05-09 11:38:00+00:00,2.53
2024-05-09 11:39:00+00:00,2.52
2024-05-09 11:40:00+00:00,2.5
2024-05-09 11:41:00+00:00,2.63
2024-05-09 11:42:00+00:00,2.67
2024-05-09 11:43:00+00:00,1.69
2024-05-09 11:44:00+00:00,1.64
2024-05-09 11:45:00+00:00,1.46
2024-05-09 11:46:00+00:00,1.05
2024-05-09 11:47:00+00:00,0.8
2024-05-09 11:48:00+00:00,0.78
2024-05-09 11:49:00+00:00,1.59
2024-05-09 11:50:00+00:00,1.2
2024-05-09 11:51:00+00:00,1.47
2024-05-09 11:52:00+00:00,1.28
2024-05-09 11:53:00+00:00,1.46
2024-05-09 11:54:00+00:00,0.93
2024-05-09 11:55:00+00:00,1.45
2024-05-09 11:56:00+00:00,1.75
2024-05-09 11:58:00+00:00,0.09
2024-05-09 11:59:00+00:00,1.62
2024-05-09 12:00:00+00:00,0.17
2024-05-09 12:01:00+00:00,0.79
2024-05-09 12:02:00+00:00,0.97
2024-05-09 12:03:00+00:00,0.21
2024-05-09 12:04:00+00:00,0.31
2024-05-09 12:05:00+00:00,0.31
2024-05-09 12:06:00+00:00,0.35
2024-05-09 12:07:00+00:00,0.43
2024-05-09 12:08:00+00:00,0.43
2024-05-09 12:09:00+00:00,0.45
2024-05-09 12:10:00+00:00,0.4
2024-05-09 12:12:00+00:00,0.52
2024-05-09 12:13:00+00:00,0.78
2024-05-09 12:14:00+00:00,1.56
2024-05-09 12:15:00+00:00,2.07
2024-05-09 12:16:00+00:00,2.23
2024-05-09 12:17:00+00:00,2.14
2024-05-09 12:18:00+00:00,1.82
2024-05-09 12:19:00+00:00,1.98
2024-05-09 12:20:00+00:00,1.62
2024-05-09 12:21:00+00:00,1.85
2024-05-09 12:22:00+00:00,1.36
2024-05-09 12:23:00+00:00,1.3
2024-05-09 12:24:00+00:00,1.33
2024-05-09 12:25:00+00:00,1.32
2024-05-09 12:26:00+00:00,1.36
2024-05-09 12:27:00+00:00,1.19
2024-05-09 12:28:00+00:00,1.17
2024-05-09 12:29:00+00:00,1.27
2024-05-09 12:30:00+00:00,1.29
2024-05-09 12:31:00+00:00,1.43
2024-05-09 12:32:00+00:00,1.42
2024-05-09 12:33:00+00:00,1.24
2024-05-09 12:34:00+00:00,1.25
2024-05-09 12:35:00+00:00,1.26
2024-05-09 12:36:00+00:00,1.29
2024-05-09 12:37:00+00:00,1.23
2024-05-09 12:38:00+00:00,1.21
2024-05-09 12:39:00+00:00,1.17
2024-05-09 12:40:00+00:00,1.1
2024-05-09 12:41:00+00:00,1.2
2024-05-09 12:42:00+00:00,1.23
2024-05-09 12:43:00+00:00,1.19
2024-05-09 12:44:00+00:00,1.19
2024-05-09 12:45:00+00:00,1.25
2024-05-09 12:46:00+00:00,1.14
2024-05-09 12:47:00+00:00,1.05
2024-05-09 12:48:00+00:00,0.96
2024-05-09 12:49:00+00:00,1.16
2024-05-09 12:50:00+00:00,1.19
2024-05-09 12:51:00+00:00,1.08
2024-05-09 12:52:00+00:00,1.09
2024-05-09 12:53:00+00:00,1.07
2024-05-09 12:54:00+00:00,0.98
2024-05-09 12:55:00+00:00,0.98
2024-05-09 12:56:00+00:00,1.05
2024-05-09 12:57:00+00:00,0.95
2024-05-09 12:58:00+00:00,0.92
2024-05-09 12:59:00+00:00,0.96
2024-05-09 13:00:00+00:00,1.02
2024-05-09 13:01:00+00:00,0.87
2024-05-09 13:02:00+00:00,0.91
2024-05-09 13:03:00+00:00,1.03
2024-05-09 13:04:00+00:00,1.0
2024-05-09 13:05:00+00:00,0.94
2024-05-09 13:06:00+00:00,0.92
2024-05-09 13:07:00+00:00,0.92
2024-05-09 13:08:00+00:00,0.92
2024-05-09 13:09:00+00:00,0.92
2024-05-09 13:10:00+00:00,0.92
2024-05-09 13:11:00+00:00,0.97
2024-05-09 13:12:00+00:00,0.98
2024-05-09 13:13:00+00:00,0.96
2024-05-09 13:14:00+00:00,0.97
2024-05-09 13:15:00+00:00,0.89
2024-05-09 13:16:00+00:00,0.86
2024-05-09 13:17:00+00:00,0.89
2024-05-09 13:18:00+00:00,0.76
2024-05-09 13:19:00+00:00,0.76
2024-05-09 13:20:00+00:00,0.66
2024-05-09 13:21:00+00:00,0.67
2024-05-09 13:22:00+00:00,0.68
2024-05-09 13:23:00+00:00,0.77
2024-05-09 13:24:00+00:00,0.8
2024-05-09 13:25:00+00:00,0.78
2024-05-09 13:26:00+00:00,0.85
2024-05-09 13:27:00+00:00,0.82
2024-05-09 13:28:00+00:00,0.74
2024-05-09 13:29:00+00:00,0.71
2024-05-09 13:30:00+00:00,0.78
2024-05-09 13:31:00+00:00,0.91
2024-05-09 13:32:00+00:00,0.91
2024-05-09 13:33:00+00:00,0.84
2024-05-09 13:34:00+00:00,0.61
2024-05-09 13:35:00+00:00,0.91
2024-05-09 13:36:00+00:00,0.82
2024-05-09 13:37:00+00:00,0.79
2024-05-09 13:38:00+00:00,0.81
2024-05-09 13:39:00+00:00,0.47
2024-05-09 13:40:00+00:00,0.33
2024-05-09 13:41:00+00:00,0.62
2024-05-09 13:42:00+00:00,0.4
2024-05-09 13:43:00+00:00,0.67
2024-05-09 13:44:00+00:00,0.59
2024-05-09 13:45:00+00:00,0.93
2024-05-09 13:46:00+00:00,1.25
2024-05-09 13:47:00+00:00,1.03
2024-05-09 13:48:00+00:00,1.16
2024-05-09 13:49:00+00:00,1.08
2024-05-09 13:50:00+00:00,1.14
2024-05-09 13:51:00+00:00,0.98
2024-05-09 13:52:00+00:00,1.03
2024-05-09 13:53:00+00:00,1.07
2024-05-09 13:54:00+00:00,1.16
2024-05-09 13:55:00+00:00,1.13
2024-05-09 13:56:00+00:00,1.02
2024-05-09 13:57:00+00:00,1.11
2024-05-09 13:58:00+00:00,0.88
2024-05-09 13:59:00+00:00,1.01
2024-05-09 14:00:00+00:00,0.97
2024-05-09 14:01:00+00:00,0.99
2024-05-09 14:02:00+00:00,0.9
2024-05-09 14:03:00+00:00,0.93
2024-05-09 14:04:00+00:00,0.99
2024-05-09 14:05:00+00:00,0.99
2024-05-09 14:06:00+00:00,1.01
2024-05-09 14:07:00+00:00,0.97
2024-05-09 14:08:00+00:00,1.09
2024-05-09 14:09:00+00:00,1.12
2024-05-09 14:10:00+00:00,1.19
2024-05-09 14:11:00+00:00,1.21
2024-05-09 14:12:00+00:00,1.13
2024-05-09 14:13:00+00:00,1.1
2024-05-09 14:14:00+00:00,1.07
2024-05-09 14:15:00+00:00,1.08
2024-05-09 14:16:00+00:00,1.03
2024-05-09 14:17:00+00:00,0.96
2024-05-09 14:18:00+00:00,0.93
2024-05-09 14:19:00+00:00,0.86
2024-05-09 14:20:00+00:00,0.91
2024-05-09 14:21:00+00:00,0.89
2024-05-09 14:22:00+00:00,0.75
2024-05-09 14:23:00+00:00,0.82
2024-05-09 14:24:00+00:00,1.06
2024-05-09 14:25:00+00:00,1.05
2024-05-09 14:26:00+00:00,0.99
2024-05-09 14:27:00+00:00,0.76
2024-05-09 14:28:00+00:00,0.8
2024-05-09 14:29:00+00:00,0.81
2024-05-09 14:30:00+00:00,0.67
2024-05-09 14:31:00+00:00,0.78
2024-05-09 14:32:00+00:00,0.57
2024-05-09 14:33:00+00:00,0.21
2024-05-09 14:34:00+00:00,0.16
2024-05-09 14:35:00+00:00,1.24
2024-05-09 14:36:00+00:00,1.48
2024-05-09 14:37:00+00:00,1.26
2024-05-09 14:38:00+00:00,1.48
2024-05-09 14:39:00+00:00,1.53
2024-05-09 14:40:00+00:00,1.47
2024-05-09 14:41:00+00:00,1.59
2024-05-09 14:42:00+00:00,1.32
2024-05-09 14:43:00+00:00,1.7
2024-05-09 14:44:00+00:00,1.07
2024-05-09 14:45:00+00:00,1.52
2024-05-09 14:46:00+00:00,1.19
2024-05-09 14:47:00+00:00,1.12
2024-05-09 14:48:00+00:00,0.84
2024-05-09 14:49:00+00:00,0.85
2024-05-09 14:50:00+00:00,1.52
2024-05-09 14:51:00+00:00,1.28
2024-05-09 14:52:00+00:00,1.68
2024-05-09 14:53:00+00:00,1.39
2024-05-09 14:54:00+00:00,1.49
2024-05-09 14:55:00+00:00,1.21
2024-05-09 14:56:00+00:00,1.23
2024-05-09 14:57:00+00:00,1.85
2024-05-09 14:58:00+00:00,1.53
2024-05-09 14:59:00+00:00,1.6
2024-05-09 15:00:00+00:00,1.87
2024-05-09 15:01:00+00:00,1.77
2024-05-09 15:02:00+00:00,1.6
2024-05-09 15:03:00+00:00,1.38
2024-05-09 15:04:00+00:00,1.36
2024-05-09 15:05:00+00:00,1.05
2024-05-09 15:06:00+00:00,1.04
2024-05-09 15:07:00+00:00,0.92
2024-05-09 15:08:00+00:00,1.45
2024-05-09 15:09:00+00:00,1.16
2024-05-09 15:10:00+00:00,1.21
2024-05-09 15:11:00+00:00,1.31
2024-05-09 15:12:00+00:00,1.45
2024-05-09 15:13:00+00:00,1.58
2024-05-09 15:14:00+00:00,1.51
2024-05-09 15:15:00+00:00,1.54
2024-05-09 15:16:00+00:00,1.7
2024-05-09 15:17:00+00:00,2.84
2024-05-09 15:18:00+00:00,2.32
2024-05-09 15:19:00+00:00,1.65
2024-05-09 15:20:00+00:00,1.71
2024-05-09 15:21:00+00:00,1.71
2024-05-09 15:22:00+00:00,1.42
2024-05-09 15:23:00+00:00,1.24
2024-05-09 15:24:00+00:00,1.47
2024-05-09 15:25:00+00:00,1.44
2024-05-09 15:26:00+00:00,1.76
2024-05-09 15:27:00+00:00,1.96
2024-05-09 15:28:00+00:00,1.53
2024-05-09 15:29:00+00:00,1.21
2024-05-09 15:30:00+00:00,0.77
2024-05-09 15:31:00+00:00,0.73
2024-05-09 15:32:00+00:00,1.17
2024-05-09 15:33:00+00:00,1.08
2024-05-09 15:34:00+00:00,0.96
2024-05-09 15:35:00+00:00,1.14
2024-05-09 15:36:00+00:00,1.01
2024-05-09 15:37:00+00:00,1.02
2024-05-09 15:38:00+00:00,0.93
2024-05-09 15:39:00+00:00,0.93
2024-05-09 15:40:00+00:00,1.04
2024-05-09 15:41:00+00:00,0.61
2024-05-09 15:42:00+00:00,0.28
2024-05-09 15:43:00+00:00,1.33
2024-05-09 15:44:00+00:00,2.08
2024-05-09 15:45:00+00:00,2.16
2024-05-09 15:46:00+00:00,2.46
2024-05-09 15:47:00+00:00,1.96
2024-05-09 15:48:00+00:00,1.31
2024-05-09 15:49:00+00:00,2.29
2024-05-09 15:50:00+00:00,2.31
2024-05-09 15:51:00+00:00,2.41
2024-05-09 15:52:00+00:00,2.36
2024-05-09 15:53:00+00:00,1.97
2024-05-09 15:54:00+00:00,2.1
2024-05-09 15:55:00+00:00,1.94
2024-05-09 15:56:00+00:00,2.19
2024-05-09 15:57:00+00:00,2.44
2024-05-09 15:58:00+00:00,2.71
2024-05-09 15:59:00+00:00,3.15
2024-05-09 16:00:00+00:00,3.42
2024-05-09 16:01:00+00:00,3.58
2024-05-09 16:02:00+00:00,3.55
2024-05-09 16:03:00+00:00,3.53
2024-05-09 16:04:00+00:00,3.37
2024-05-09 16:05:00+00:00,3.43
2024-05-09 16:06:00+00:00,3.45
2024-05-09 16:07:00+00:00,3.42
2024-05-09 16:08:00+00:00,3.49
2024-05-09 16:09:00+00:00,3.45
2024-05-09 16:10:00+00:00,3.49
2024-05-09 16:11:00+00:00,3.5
2024-05-09 16:12:00+00:00,3.49
2024-05-09 16:13:00+00:00,3.41
2024-05-09 16:14:00+00:00,3.45
2024-05-09 16:15:00+00:00,3.44
2024-05-09 16:16:00+00:00,3.47
2024-05-09 16:17:00+00:00,3.45
2024-05-09 16:18:00+00:00,3.42
2024-05-09 16:19:00+00:00,3.38
2024-05-09 16:20:00+00:00,3.18
2024-05-09 16:21:00+00:00,3.34
2024-05-09 16:22:00+00:00,3.32
2024-05-09 16:23:00+00:00,3.33
2024-05-09 16:24:00+00:00,3.24
2024-05-09 16:25:00+00:00,3.06
2024-05-09 16:26:00+00:00,3.22
2024-05-09 16:27:00+00:00,3.26
2024-05-09 16:28:00+00:00,3.39
2024-05-09 16:29:00+00:00,3.46
2024-05-09 16:30:00+00:00,3.37
2024-05-09 16:31:00+00:00,3.53
2024-05-09 16:32:00+00:00,3.55
2024-05-09 16:33:00+00:00,3.49
2024-05-09 16:34:00+00:00,3.57
2024-05-09 16:35:00+00:00,3.68
2024-05-09 16:36:00+00:00,3.64
2024-05-09 16:37:00+00:00,3.55
2024-05-09 16:38:00+00:00,3.44
2024-05-09 16:39:00+00:00,3.37
2024-05-09 16:40:00+00:00,3.37
2024-05-09 16:41:00+00:00,3.27
2024-05-09 16:42:00+00:00,3.34
2024-05-09 16:43:00+00:00,3.3
2024-05-09 16:44:00+00:00,3.38
2024-05-09 16:45:00+00:00,3.46
2024-05-09 16:46:00+00:00,3.47
2024-05-09 16:47:00+00:00,3.56
2024-05-09 16:48:00+00:00,3.55
2024-05-09 16:49:00+00:00,3.61
2024-05-09 16:50:00+00:00,3.64
2024-05-09 16:51:00+00:00,3.7
2024-05-09 16:52:00+00:00,3.6
2024-05-09 16:53:00+00:00,3.54
2024-05-09 16:54:00+00:00,3.51
2024-05-09 16:55:00+00:00,3.66
2024-05-09 16:56:00+00:00,3.76
2024-05-09 16:57:00+00:00,3.73
2024-05-09 16:58:00+00:00,3.75
2024-05-09 16:59:00+00:00,3.77
2024-05-09 17:00:00+00:00,3.74
2024-05-09 17:01:00+00:00,3.71
2024-05-09 17:02:00+00:00,3.68
2024-05-09 17:03:00+00:00,3.71
2024-05-09 17:04:00+00:00,3.67
2024-05-09 17:05:00+00:00,3.65
2024-05-09 17:06:00+00:00,3.69
2024-05-09 17:07:00+00:00,3.7
2024-05-09 17:08:00+00:00,3.68
2024-05-09 17:09:00+00:00,3.79
2024-05-09 17:10:00+00:00,3.76
2024-05-09 17:11:00+00:00,3.72
2024-05-09 17:12:00+00:00,3.7
2024-05-09 17:13:00+00:00,3.61
2024-05-09 17:14:00+00:00,3.54
2024-05-09 17:15:00+00:00,3.6
2024-05-09 17:16:00+00:00,3.65
2024-05-09 17:17:00+00:00,3.61
2024-05-09 17:18:00+00:00,3.64
2024-05-09 17:19:00+00:00,3.68
2024-05-09 17:20:00+00:00,3.65
2024-05-09 17:21:00+00:00,3.74
2024-05-09 17:22:00+00:00,3.52
2024-05-09 17:23:00+00:00,3.74
2024-05-09 17:24:00+00:00,3.79
2024-05-09 17:25:00+00:00,3.77
2024-05-09 17:26:00+00:00,3.76
2024-05-09 17:27:00+00:00,3.83
2024-05-09 17:28:00+00:00,3.79
2024-05-09 17:29:00+00:00,3.81
2024-05-09 17:30:00+00:00,3.76
2024-05-09 17:31:00+00:00,3.77
2024-05-09 17:32:00+00:00,3.76
2024-05-09 17:33:00+00:00,3.76
2024-05-09 17:34:00+00:00,3.7
2024-05-09 17:35:00+00:00,3.71
2024-05-09 17:36:00+00:00,3.73
